H,L,n,RA_pct,RB_pct,RC_pct,SPL_pct,v33_m,RA_m,RB_m,RC_m,SPL_m,best,lift_vs_v33
7,3,17160,0.3562354312354312,0.27121212121212124,0.10786713286713287,0.0,0.21380273896667862,0.3074953385435006,0.396310023291119,0.7622389277813973,2.4696529739029978,RA,-936.9259957682197
7,2,17160,0.3727855477855478,0.24533799533799533,0.11357808857808858,0.0,0.20862878787934797,0.297505828267124,0.4337494176684386,0.7427395097764279,2.6111745351228084,RA,-888.7704038777605
6,5,17160,0.3572261072261072,0.27296037296037295,0.10617715617715617,0.0,0.19518618876503083,0.28068560596179903,0.3502185314011788,0.7709664922938649,2.215768066502886,RA,-854.9941719676822
6,4,17160,0.3155594405594406,0.2529137529137529,0.1484848484848485,0.0,0.20650874083489396,0.33085984820087544,0.38828933569570107,0.6696689974341872,2.2604746496292387,RA,-1243.5110736598149
6,3,17160,0.2765151515151515,0.2564685314685315,0.17657342657342656,0.0,0.2262004664321354,0.3844612474575539,0.40868356674524253,0.604912587857777,2.329642191971381,RA,-1582.6078102541849
6,2,17160,0.2710955710955711,0.2293123543123543,0.20116550116550116,0.0,0.2350297206165573,0.40603933586399255,0.46114102605684704,0.5536582175450668,2.4322913759488975,RA,-1710.0961524743523
5,4,17160,0.21136363636363636,0.25885780885780885,0.21555944055944057,0.0,0.2372368881722048,0.438419872582,0.3932467950538934,0.5273843246248892,2.0517651522981484,RB,-1560.099068816886
5,3,17160,0.19603729603729603,0.22564102564102564,0.26136363636363635,0.0,0.26193706278519874,0.4941104312829504,0.45688723743391724,0.4652703965392663,2.128396854009848,RB,-1949.501746487185
5,2,17160,0.1867132867132867,0.19766899766899768,0.29685314685314684,0.0,0.28975203937659855,0.533001456844907,0.525539627102462,0.41761159658310437,2.2414134620324684,RC,-1278.5955720650581
4,3,17160,0.18135198135198136,0.22103729603729605,0.2778554778554779,0.0,0.26639131697872764,0.510583625130338,0.46336334536860463,0.4406631697306305,2.1179635780827644,RC,-1742.7185275190288
4,2,17160,0.18653846153846154,0.1763986013986014,0.32226107226107226,0.0,0.2860346738554077,0.5367042543464242,0.5485346738439562,0.3888103147876386,2.22066987120071,RC,-1027.756409322309
3,2,17160,0.16497668997669,0.18245920745920746,0.348018648018648,0.0,0.2879361882171917,0.5710801278691443,0.535135488740455,0.3558706287385262,2.182176864233806,RC,-679.3444052133451
